,stock_id,date,open,high,low,close,volume,index_value,ticker
3421,4,2008-04-18,28.24,30.1,27.93,30.0,254237700,1.48,MSFT
3422,4,2008-04-11,29.55,29.59,28.21,28.28,254966700,1.37,MSFT
3423,4,2008-04-04,27.88,29.58,27.84,29.16,244898400,1.61,MSFT
3424,4,2008-03-28,29.33,29.4,27.83,27.91,240450200,1.67,MSFT
3425,4,2008-03-14,27.83,29.49,27.64,27.96,436676700,1.2,MSFT
3426,4,2008-03-07,27.24,28.41,26.87,27.87,438685000,0.96,MSFT
3427,4,2008-02-29,27.65,28.86,27.02,27.1999,494511600,1.43,MSFT
3428,4,2008-02-22,28.8,28.96,27.2,27.68,385799300,1.41,MSFT
3429,4,2008-02-15,28.52,29.05,27.91,28.42,467445800,1.61,MSFT
3430,4,2008-02-08,30.49,30.72,27.9,28.56,685685200,1.11,MSFT
3431,4,2008-02-01,33.02,33.25,30.25,30.4498,650255700,1.13,MSFT
3432,4,2008-01-25,31.54,35.0,31.04,32.94,598751500,1.41,MSFT
3433,4,2008-01-18,34.46,34.57,32.51,33.01,446486700,1.9,MSFT
3434,4,2008-01-11,34.55,34.8,33.35,33.91,361252000,1.93,MSFT
3435,4,2008-01-04,35.9,35.99,34.09,34.38,219924300,1.94,MSFT
3436,5,2024-06-14,493.86,514.01,493.41,504.16,53091829,2.23,META
3437,5,2024-06-07,470.86,502.82,468.24,492.96,54106676,2.37,META
3438,5,2024-05-31,476.575,480.86,454.4601,466.83,47057019,2.03,META
3439,5,2024-05-24,469.95,479.8499,461.54,478.22,57338047,2.49,META
3440,5,2024-05-17,472.75,482.4999,460.08,471.91,65663289,1.84,META
3441,5,2024-05-10,455.58,477.5,453.34,476.2,60373022,2.01,META
3442,5,2024-05-03,439.56,454.17,427.11,451.96,91987468,1.48,META
3443,5,2024-04-26,489.715,510.0,414.5,443.29,185705182,1.78,META
3444,5,2024-04-19,516.72,518.53,475.73,481.07,75578595,1.72,META
3445,5,2024-04-12,529.28,531.4899,505.8,511.9,57542681,1.87,META
3446,5,2024-04-05,487.2,530.7,481.78,527.34,77389395,1.75,META
3447,5,2024-03-22,491.91,515.04,481.28,509.58,52202585,1.81,META
3448,5,2024-03-15,497.01,502.31,476.0,484.1,89007219,1.64,META
3449,5,2024-03-08,503.0,523.57,487.89,505.95,76590861,1.76,META
3450,5,2024-03-01,483.47,504.25,479.92,502.3,69243423,2.16,META
3451,5,2024-02-23,469.715,494.3599,461.79,484.03,70992664,1.73,META
3452,5,2024-02-16,468.19,488.62,455.09,473.32,104693912,1.61,META
3453,5,2024-02-09,469.88,473.59,453.0,468.11,122781818,1.52,META
3454,5,2024-02-02,394.985,485.96,387.1,474.99,171972674,2.11,META
3455,5,2024-01-26,387.95,396.79,381.1601,394.14,77135380,1.48,META
3456,5,2024-01-19,373.65,384.36,358.61,383.45,66056802,1.49,META
3457,5,2024-01-12,354.7,377.06,352.05,374.49,85986730,1.82,META
3458,5,2024-01-05,351.32,353.5,340.01,351.95,60512753,2.5,META
3459,5,2023-12-29,354.99,361.9,351.82,353.96,49392831,2.08,META
3460,5,2023-12-22,337.48,357.1999,337.02,353.39,80087432,2.48,META
3461,5,2023-12-15,329.4,338.66,319.995,334.92,112025431,2.03,META
3462,5,2023-12-08,317.29,333.17,313.66,332.75,77246129,2.14,META
3463,5,2023-12-01,336.18,339.9,320.76,324.82,82768958,2.26,META
3464,5,2023-11-24,334.89,342.92,334.19,338.23,45186657,1.9,META
3465,5,2023-11-17,326.2,338.4,325.7,335.04,82071316,2.0,META
3466,5,2023-11-10,315.98,329.1,314.45,328.77,75773009,2.13,META
3467,5,2023-11-03,299.09,318.82,296.86,314.6,106699936,2.07,META
3468,5,2023-10-27,309.5,318.35,279.403,296.73,175795144,1.98,META
3469,5,2023-10-20,318.64,325.94,306.47,308.65,90796351,2.13,META
3470,5,2023-10-13,312.5,330.54,311.82,314.69,105469240,2.07,META
3471,5,2023-10-06,302.74,316.31,298.5,315.43,91442118,2.12,META
3472,5,2023-09-29,295.64,310.64,286.79,300.21,122374780,1.8,META
3473,5,2023-09-22,298.19,308.06,293.27,299.08,96234465,1.68,META
3474,5,2023-09-15,301.41,312.87,298.75,300.31,93654887,2.38,META
3475,5,2023-09-08,297.02,307.0499,292.22,297.89,81695021,2.06,META
3476,5,2023-09-01,288.0,301.74,285.8,296.38,82872953,1.87,META
3477,5,2023-08-25,283.45,299.46,276.03,285.5,93530714,1.98,META
3478,5,2023-08-18,300.98,307.23,274.38,283.25,105111289,1.9,META
3479,5,2023-08-11,313.23,317.89,300.36,301.64,79780966,1.21,META
3480,5,2023-08-04,323.69,325.6599,309.93,310.73,101978751,1.54,META
3481,5,2023-07-28,295.78,326.2,288.3001,325.48,195241362,1.85,META
3482,5,2023-07-21,307.54,318.68,291.2,294.26,133827529,1.29,META
3483,5,2023-07-14,295.55,316.24,287.05,308.87,154656431,1.62,META
3484,5,2023-07-07,286.7,298.12,284.8499,290.53,115814530,1.42,META
3485,5,2023-06-30,288.7,289.79,277.6,286.98,102153590,1.38,META
3486,5,2023-06-23,278.73,289.67,276.22,288.73,109912858,1.5,META
3487,5,2023-06-16,267.17,287.85,265.33,281.0,119911978,1.4,META
3488,5,2023-06-09,270.3,276.57,258.88,264.95,104174736,1.18,META
3489,5,2023-06-02,265.25,275.35,258.45,272.61,94204159,1.19,META
3490,5,2023-05-26,245.41,262.3107,244.952,262.04,111351030,1.18,META
3491,5,2023-05-19,236.92,248.69,235.33,245.64,104686959,1.37,META
3492,5,2023-05-12,231.415,238.21,230.27,233.81,88995558,1.04,META
3493,5,2023-05-05,238.615,244.92,229.85,232.78,132847791,1.35,META
3494,5,2023-04-28,213.675,241.685,207.13,240.32,180884889,1.18,META
3495,5,2023-04-21,219.79,220.979,209.58,212.89,77783395,1.37,META
3496,5,2023-04-14,214.71,222.11,210.66,221.49,96689911,1.12,META
3497,5,2023-03-31,204.81,212.17,197.9,211.94,104554192,1.87,META
3498,5,2023-03-24,198.48,207.88,193.64,206.01,140613737,1.72,META
3499,5,2023-03-17,177.96,205.76,174.82,195.61,209454905,1.36,META
